id,title,description,category,priority
256,Alert: EV-121 shows sudden battery drain even when parked.,EV-121 shows sudden battery drain even when parked.,Battery,High
257,Issue: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Medium
258,Alert: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,High
259,Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
260,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,High
261,Report: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,High
262,Alert: EV-116 brakes feel soft and need inspection.,EV-116 brakes feel soft and need inspection.,Vehicle,High
263,Alert: EV-110 AC is not working properly.,EV-110 AC is not working properly.,Vehicle,Low
264,Issue: EV-106 shows sudden battery drain even when parked.,EV-106 shows sudden battery drain even when parked.,Battery,Medium
265,Alert: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Medium
266,Alert: Pune Central Hub is operating near full capacity with no available parking.,Pune Central Hub is operating near full capacity with no available parking.,Hub Operations,Critical
267,Alert: Suggestion received to add more charging stations near Pune Central Hub.,Suggestion received to add more charging stations near Pune Central Hub.,Other,Medium
268,Issue: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
269,Alert: Charging stops after a few minutes for EV-114 at station 7.,Charging stops after a few minutes for EV-114 at station 7.,Charging,High
270,Report: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Low
271,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,High
272,Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
273,Alert: Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Hub Operations,Low
274,Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Low
275,Alert: EV-112 is not charging at station 8.,EV-112 is not charging at station 8.,Charging,High
276,Issue: EV-109 is not charging at station 8.,EV-109 is not charging at station 8.,Charging,High
277,Alert: Battery health indicator for EV-104 has degraded significantly this month.,Battery health indicator for EV-104 has degraded significantly this month.,Battery,Medium
278,Issue: Charging cable at station 4 appears damaged and vehicle is not accepting charge.,Charging cable at station 4 appears damaged and vehicle is not accepting charge.,Charging,Medium
279,Issue: EV-114 maintenance was delayed due to parts unavailability.,EV-114 maintenance was delayed due to parts unavailability.,Maintenance,Critical
280,Report: EV-125 requires software update for the onboard diagnostics system.,EV-125 requires software update for the onboard diagnostics system.,Maintenance,Medium
281,Alert: Pune Central Hub requires additional staff during the evening peak hours.,Pune Central Hub requires additional staff during the evening peak hours.,Hub Operations,Critical
282,Alert: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
283,EV-119 brakes feel soft and need inspection.,EV-119 brakes feel soft and need inspection.,Vehicle,High
284,Issue: Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,High
285,Report: EV-109 maintenance was delayed due to parts unavailability.,EV-109 maintenance was delayed due to parts unavailability.,Maintenance,High
286,Report: EV-115 battery percentage is not increasing despite being connected at station 3.,EV-115 battery percentage is not increasing despite being connected at station 3.,Charging,Critical
287,Alert: EV-122 battery percentage is not increasing despite being connected at station 2.,EV-122 battery percentage is not increasing despite being connected at station 2.,Charging,Critical
288,Maintenance team flagged worn brake pads on EV-113.,Maintenance team flagged worn brake pads on EV-113.,Maintenance,Medium
289,Charging session for EV-104 keeps disconnecting randomly.,Charging session for EV-104 keeps disconnecting randomly.,Charging,Low
290,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Low
291,Report: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,High
292,Report: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Low
293,Telematics unit on EV-115 stopped sending data.,Telematics unit on EV-115 stopped sending data.,Technical,High
294,Issue: EV-124 requires software update for the onboard diagnostics system.,EV-124 requires software update for the onboard diagnostics system.,Maintenance,Critical
295,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
296,Report: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,High
297,Suggestion received to add more charging stations near Delhi North Hub.,Suggestion received to add more charging stations near Delhi North Hub.,Other,Medium
298,EV-100 battery temperature is unusually high during operation.,EV-100 battery temperature is unusually high during operation.,Battery,Medium
299,Issue: GPS tracking for EV-124 is showing an incorrect location.,GPS tracking for EV-124 is showing an incorrect location.,Technical,High
300,"Report: EV-107 shuts down unexpectedly, suspected battery fault.","EV-107 shuts down unexpectedly, suspected battery fault.",Battery,High
301,Alert: Charging cable at station 8 appears damaged and vehicle is not accepting charge.,Charging cable at station 8 appears damaged and vehicle is not accepting charge.,Charging,Low
302,EV-109 is not charging at station 2.,EV-109 is not charging at station 2.,Charging,High
303,Alert: EV-114 tyre pressure warning light is on.,EV-114 tyre pressure warning light is on.,Vehicle,Medium
304,Alert: EV-114 dashboard display is flickering intermittently.,EV-114 dashboard display is flickering intermittently.,Vehicle,Critical
305,Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
306,Report: EV-110 maintenance was delayed due to parts unavailability.,EV-110 maintenance was delayed due to parts unavailability.,Maintenance,Medium
307,Report: EV-110 brakes feel soft and need inspection.,EV-110 brakes feel soft and need inspection.,Vehicle,High
308,Alert: Telematics unit on EV-110 stopped sending data.,Telematics unit on EV-110 stopped sending data.,Technical,High
309,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver,High
310,Report: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
311,Alert: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Medium
312,Issue: EV-129 maintenance was delayed due to parts unavailability.,EV-129 maintenance was delayed due to parts unavailability.,Maintenance,Medium
